Demand category,Demand FIPS,Corn FIPS, Corn (bu) , GHG (kg CO2e) , Irrigation (m3) ,Transport mode, Distance (miles) 
ethanol,29033,29177," 3,138,075 "," 42,209,674 "," 3,858,813 ",truck, 43 
ethanol,29087,29087," 1,676,703 "," 15,868,971 "," 2,564,712 ",truck, 11 
ethanol,29121,17001," 1,545,478 "," 27,716,776 "," 305,001 ",truck, 99 
ethanol,29121,29001," 511,430 "," 14,760,764 ", -   ,truck, 32 
ethanol,29121,29103," 1,608,427 "," 52,643,396 ", -   ,truck, 55 
ethanol,29121,29111," 2,136,928 "," 49,304,081 "," 1,254,631 ",truck, 82 
ethanol,29121,29115," 1,477,960 "," 29,427,324 ", -   ,truck, 39 
ethanol,29121,29121," 1,063,724 "," 32,701,277 ", -   ,truck, 15 
ethanol,29121,29127," 4,389,928 "," 69,424,620 "," 3,349,789 ",truck, 72 
ethanol,29121,29137," 1,002,159 "," 31,956,594 "," 376,890 ",truck, 51 
ethanol,29121,29175," 64,073 "," 1,419,032 ", -   ,truck, 37 
ethanol,29121,29205," 1,625,558 "," 48,356,508 "," 1,051,411 ",truck, 44 
ethanol,29195,29041," 5,104,770 "," 70,811,474 "," 2,178,606 ",truck, 48 
ethanol,29195,29107," 1,308,569 "," 17,455,041 "," 187,430 ",truck, 51 
ethanol,29195,29195," 10,353,689 "," 129,921,958 "," 2,162,422 ",truck, 14 
ethanol,31001,31001," 20,791,115 "," 167,432,075 "," 201,027,107 ",truck, 12 
ethanol,31011,31003," 20,261,752 "," 169,423,949 "," 171,902,698 ",truck, 40 
ethanol,31011,31011," 16,625,710 "," 171,969,535 "," 142,041,214 ",truck, 14 
ethanol,31019,31019," 15,473,572 "," 129,849,091 "," 165,951,396 ",truck, 16 
ethanol,31043,19193," 2,133,971 "," 19,751,938 "," 374,405 ",truck, 18 
ethanol,31043,31043," 7,862,870 "," 94,496,804 "," 26,694,484 ",truck, 8 
ethanol,31043,31051," 74,564 "," 1,485,561 "," 235,647 ",truck, 22 
ethanol,31043,31173," 6,695,623 "," 100,637,604 "," 7,267,244 ",truck, 27 
ethanol,31047,31047," 13,413,623 "," 117,447,067 "," 164,624,550 ",truck, 16 
ethanol,31059,31059," 25,448,752 "," 198,836,371 "," 198,130,060 ",truck, 12 
ethanol,31059,31151," 11,438,711 "," 110,524,384 "," 64,026,928 ",truck, 30 
ethanol,31065,31065," 5,703,133 "," 87,894,419 "," 54,911,311 ",truck, 14 
ethanol,31065,31073," 9,387,192 "," 96,669,999 "," 100,534,482 ",truck, 30 
ethanol,31067,31067," 15,891,569 "," 218,120,433 "," 55,654,767 ",truck, 15 
ethanol,31067,31095," 875,459 "," 9,803,655 "," 5,185,263 ",truck, 29 
ethanol,31079,31001," 5,461,906 "," 43,985,051 "," 52,810,595 ",truck, 34 
ethanol,31079,31079," 33,102,259 "," 262,885,483 "," 342,865,488 ",truck, 12 
ethanol,31081,31035," 19,016,420 "," 162,780,019 "," 175,906,820 ",truck, 29 
ethanol,31081,31081," 15,188,318 "," 109,581,519 "," 133,609,429 ",truck, 12 
ethanol,31087,31057," 4,714,160 "," 51,357,615 "," 68,313,285 ",truck, 42 
ethanol,31087,31085," 5,617,388 "," 70,009,574 "," 69,861,587 ",truck, 27 
ethanol,31087,31087," 3,082,075 "," 60,234,707 "," 33,947,121 ",truck, 14 
ethanol,31089,31089," 14,754,985 "," 117,323,145 "," 134,571,987 ",truck, 25 
ethanol,31099,31099," 19,785,093 "," 159,753,661 "," 204,007,134 ",truck, 12 
ethanol,31119,31003," 7,843,124 "," 65,582,338 "," 66,541,837 ",truck, 41 
ethanol,31119,31179," 7,247,201 "," 121,788,210 "," 35,383,275 ",truck, 37 
ethanol,31121,31081," 19,600,012 "," 141,411,258 "," 172,418,466 ",truck, 22 
ethanol,31121,31093," 9,205,812 "," 96,411,404 "," 107,951,934 ",truck, 34 
ethanol,31121,31121," 4,728,233 "," 45,651,978 "," 51,265,845 ",truck, 11 
ethanol,31123,31013," 2,770,068 "," 29,764,521 "," 45,010,632 ",truck, 40 
ethanol,31123,31069," 1,591,765 "," 17,423,730 "," 23,503,924 ",truck, 51 
ethanol,31123,31123," 11,419,379 "," 124,589,910 "," 197,745,529 ",truck, 20 
ethanol,31123,31157," 2,327,178 "," 25,406,866 "," 42,089,798 ",truck, 40 
ethanol,31135,31135," 14,754,985 "," 185,376,471 "," 174,893,189 ",truck, 15 
ethanol,31139,31089," 3,610,697 "," 28,710,185 "," 32,931,155 ",truck, 66 
ethanol,31139,31107," 4,728,399 "," 64,401,219 "," 34,054,318 ",truck, 39 
ethanol,31139,31139," 16,811,447 "," 177,119,953 "," 125,036,459 ",truck, 12 
ethanol,31141,31023," 14,562,227 "," 142,715,370 "," 74,040,485 ",truck, 36 
ethanol,31141,31037," 4,405,741 "," 53,467,075 "," 24,594,543 ",truck, 36 
ethanol,31141,31109," 6,890,530 "," 98,800,219 "," 9,194,710 ",truck, 86 
ethanol,31141,31119," 10,359,717 "," 122,121,356 "," 73,497,518 ",truck, 38 
ethanol,31141,31141," 26,324,952 "," 257,060,311 "," 202,665,671 ",truck, 14 
ethanol,31141,31143," 18,388,285 "," 163,805,620 "," 149,499,858 ",truck, 39 
ethanol,31141,31155," 7,654,516 "," 88,021,747 "," 32,056,499 ",truck, 66 
ethanol,31141,31159," 14,806,088 "," 140,153,204 "," 92,619,003 ",truck, 64 
ethanol,31141,31185," 22,253,915 "," 165,212,311 "," 173,665,193 ",truck, 61 
ethanol,31175,31041," 44,404 "," 422,832 "," 498,488 ",truck, 46 
ethanol,31175,31071," 1,235,685 "," 13,850,254 "," 16,559,896 ",truck, 31 
ethanol,31175,31163," 6,373,684 "," 62,886,520 "," 69,656,512 ",truck, 28 
ethanol,31175,31175," 10,789,959 "," 109,979,920 "," 122,022,330 ",truck, 12 
ethanol,31177,19085," 1,448,503 "," 13,097,119 "," 1,178,120 ",truck, 32 
ethanol,31177,31021," 5,247,300 "," 57,951,731 "," 10,038,148 ",truck, 35 
ethanol,31177,31025," 12,525,341 "," 159,949,119 "," 2,902,541 ",truck, 56 
ethanol,31177,31053," 18,229,955 "," 184,012,214 "," 90,275,334 ",truck, 25 
ethanol,31177,31055," 4,508,978 "," 46,688,883 "," 14,145,354 ",truck, 25 
ethanol,31177,31153," 4,083,365 "," 41,945,855 "," 7,878,225 ",truck, 39 
ethanol,31177,31155," 14,648,307 "," 168,445,599 "," 61,345,934 ",truck, 43 
ethanol,31177,31177," 9,459,956 "," 112,037,877 "," 14,339,518 ",truck, 10 
ethanol,31185,31059," 4,819,748 "," 37,657,693 "," 37,523,924 ",truck, 25 
ethanol,31185,31185," 10,653,823 "," 79,093,624 "," 83,140,351 ",truck, 12 
ethanol,35041,27129," 15,473,572 "," 84,891,944 "," 23,971 ",rail," 1,233 "
ethanol,36075,36011," 6,151,457 "," 26,146,863 ", -   ,truck, 50 
ethanol,36075,36037," 2,210,331 "," 10,005,838 "," 458,850 ",truck, 121 
